Ticker,Name,Sector,Industry,Year,Gross_Margin,Operating_Margin,Net_Margin,EBITDA_Margin,ROE,ROA,Asset_Turnover,Inventory_Days,Receivables_Days,Payables_Days,Debt_to_Equity,Debt_to_Assets,Interest_Coverage,Current_Ratio,Quick_Ratio,ROA_t+1,Sector_Basic Materials,Sector_Communication Services,Sector_Consumer Cyclical,Sector_Consumer Defensive,Sector_Energy,Sector_Healthcare,Sector_Industrials,Sector_Real Estate,Sector_Technology,Sector_Utilities,Cluster,Predicted_ROA
0024.KL,JAG Berhad,Industrials,Waste Management,2021-12-31,0.2707078989387398,0.1216567516567962,0.0854522021750422,0.1587666099804472,0.0868549151225604,0.0707796873570475,0.8282956501467421,160.21991979033575,10.90038568122,16.518513717147243,0.227116399715381,0.1850813824736257,28.25400760832421,6.093323150991259,2.551180323241443,0.036909159866101,0,0,0,0,0,0,1,0,0,0,0,0.040180586
0026.KL,Nova MSC Berhad,Technology,Software—Application,2024-03-31,0.105558397805467,-0.1597491858532657,-0.1905815114202058,0.0820038392464875,-0.2046600293917827,-0.1083039138275351,0.5682813249850874,27.395172847603565,39.83521483687136,34.740556722459495,0.88968267312746,0.470810621158429,-7.910605237450961,0.7308340006917756,0.649705168854181,-0.0614764671916655,0,0,0,0,0,0,0,0,1,0,3,-0.084832296
0026.KL,Nova MSC Berhad,Technology,Software—Application,2023-03-31,-0.1520285461111797,-0.4344049577754515,-0.4538837588668596,-0.191786176814985,-0.3251082547210067,-0.1917161449013462,0.4223904053759796,11.24889294154247,82.40036190622912,32.27160779121582,0.6957792203066764,0.4103005933642982,-14.092482343950389,0.9719560866698288,0.9342700009823266,-0.1083039138275351,0,0,0,0,0,0,0,0,1,0,3,-0.13827805
0026.KL,Nova MSC Berhad,Technology,Software—Application,2022-03-31,-0.3937522765693305,-0.7320762544524142,-0.8858465205476307,-0.558670519002817,-0.4208683420470642,-0.2793578301747439,0.3153569198443595,0.0,128.0852155200498,29.02226468124036,0.506556454078279,0.3362346314384837,-50.0332636775794,1.5766434610537208,1.5766434610537208,-0.1917161449013462,0,0,0,0,0,0,0,0,1,0,2,-0.08841431
0028.KL,Scope Industries Berhad,Technology,Electronic Components,2024-06-30,0.0579348367798029,-0.4030208052627219,-0.3050342221199748,-0.326924250354333,-0.2230742174155247,-0.2018320750023867,0.6616702663709746,5.660932716814156,26.89040082326537,3.325510621074676,0.105246613616229,0.0952245519865247,-12163.967425025854,9.81986775579387,9.42050618082046,-0.0470384601065059,0,0,0,0,0,0,0,0,1,0,3,-0.023650775
0028.KL,Scope Industries Berhad,Technology,Electronic Components,2023-06-30,0.0561637931660595,-0.0017725211341072,0.0047702291266153,0.0550101416596154,0.0039657363458871,0.003632255413388,0.7614425464642705,4.090485974741117,99.45520273790638,1.4526340421535184,0.0918109809320959,0.0840905454657686,32.990230988646324,15.420161617467585,15.070592647745949,-0.2018320750023867,0,0,0,0,0,0,0,0,1,0,3,0.008423133
0028.KL,Scope Industries Berhad,Technology,Electronic Components,2022-06-30,0.0807689291989257,0.0410420891211619,0.0356255217072394,0.0810897711304363,0.0298305607722606,0.0260562373011404,0.731392441499194,5.686740279161739,99.0427952517078,16.00649604399643,0.1448529742609879,0.1265253945420299,48.44614567114011,6.483829365385268,6.326468438855776,0.003632255413388,0,0,0,0,0,0,0,0,1,0,3,0.013501498
0032.KL,REDtone Digital Berhad,Communication Services,Telecom Services,2024-06-30,0.3302423043314347,0.198557454854708,0.1748063114272604,0.244820602443793,0.2007033037829422,0.1280808219236748,0.73270135888069,1.0065758182682951,18.7122595879862,55.04950408643253,0.567005120427351,0.3618399921199481,138.00823723228996,2.5454937914785574,2.540869412513628,0.0652877497116922,0,1,0,0,0,0,0,0,0,0,4,0.08611004
0032.KL,REDtone Digital Berhad,Communication Services,Telecom Services,2023-06-30,0.4445526288818284,0.2389939157900621,0.2677098959255359,0.3649221537916833,0.2238178142855473,0.1348589103334334,0.5037501877440673,1.585771917905879,87.28209117929319,39.30142834377542,0.6596442439892658,0.3974612308501051,23.459718478586403,2.4159242158201644,2.412181251941933,0.1280808219236748,0,1,0,0,0,0,0,0,0,0,4,0.118062146
0032.KL,REDtone Digital Berhad,Communication Services,Telecom Services,2022-06-30,0.6256058516090659,0.3251793826957391,0.2496678098227053,0.363637514078536,0.1766335853600669,0.1324240603825255,0.5304010175623475,2.936285279702552,87.62521987826021,15.458678384316377,0.33384813039138,0.2502894615846721,57.355289421157686,3.286212286793288,3.2796276058598126,0.1348589103334334,0,1,0,0,0,0,0,0,0,0,4,0.15352774
